TransientID,Classification,Dec (J2000),SDSS,count,mag_info,mag_max,mag_mean,mag_median,mag_min,mag_std,magerr_max,magerr_mean,magerr_std,mjd_std,SN,baseline,mag_baseline
1210061091254108515,SN,8.91432,yes,196,18.31,21.3838,19.57994030612245,19.672600000000003,12.2208,0.8267908980419623,0.5180218388372679,0.24664838621884932,0.08271332129133697,944.4403616640395,1,3056.797137997499,9.163
1305091120654118444,SN,12.25101,yes,44,18.88,21.5437,20.01772727272727,20.36435,12.4589,1.4145988247743086,0.630020660256377,0.32667200469055563,0.12619809979316426,794.7051680621743,1,2674.8138489699995,9.084800000000001
1007051071254133856,SN,8.00804,yes,9,19.08,21.3105,18.76031111111111,19.0583,12.4652,2.544811773709621,0.571777453829556,0.24845657645912395,0.1715308291416893,436.012865278702,1,1379.1372675001985,8.845300000000002
1408311210014119351,Blazar,20.7972,yes,255,17.6,20.3146,18.769759607843138,18.8944,11.6801,1.0232087627561393,0.620302870420346,0.17167891261388238,0.05104524174726977,933.346573209555,0,2944.9580308329023,8.6345
1502071150154145908,HPM,16.86533,no,13,12.52,20.8485,13.004976923076924,12.3553,12.3152,2.356798227169595,0.502200413732648,0.0854779265776753,0.12520952812961683,783.3358946363894,0,2840.2169811111016,8.5333
1304181400734166981,CV,41.79893,no,265,13.97,21.2597,19.343204150943397,19.971,12.737,1.8899832818979942,0.641395241999151,0.26934115498354466,0.11438006517614012,949.3553428674239,0,3069.709241296092,8.522699999999999
1002171210554127510,CV,21.21863,yes,436,12.57,20.6007,19.241743807339446,19.346600000000002,12.5351,0.8897349510966414,0.50658734263718,0.20211544736923692,0.05415800350174576,878.2407691890735,0,2991.9467307523882,8.0656
712151210224139942,CV,21.9453,no,107,17.0,21.1734,19.288959813084112,19.4764,13.1909,1.1933774107556465,0.5815056945854461,0.27295957980901814,0.12275767529865854,918.3461896902041,0,2947.928021111089,7.982500000000002
712180180624111439,SN,-18.9727,no,28,12.93,20.8207,16.000860714285714,16.00965,12.9332,1.627913897154153,0.451230648330859,0.08316107878671788,0.07294841331141404,277.23009846091173,1,1531.8320869094969,7.887499999999999
804011350404111947,CV,34.74687,yes,279,16.4,21.3801,19.204272759856632,19.6886,13.5202,1.5861938725583438,0.56602509164384,0.2248982158254772,0.0887388014451697,842.9362621505277,0,3065.3264697449995,7.859899999999998
1311021320354124799,AGN,31.9807,yes,59,18.87,21.161,19.787477966101694,19.8525,13.354,0.9778256487399601,0.493518790996623,0.2702226381521584,0.07096984014001369,1046.9460329296487,0,2913.9746401155935,7.807000000000002
1002191010224113664,CV,0.87886,yes,371,13.83,20.8278,17.797010242587604,17.9258,13.144,1.0794334292419687,0.542594324643371,0.12686446628873124,0.04656339778775503,912.2649492759434,0,2964.8438324997987,7.6838
1109211120074116827,Blazar,12.38222,yes,286,17.79,20.5416,18.964885314685315,18.9882,12.9127,0.6688130993174924,0.393194398245896,0.1821467246827085,0.05095820568146917,945.5127213302848,0,2958.8163453243033,7.6289
1012041320074131511,CV,32.92911,yes,286,13.2,20.7691,19.245415734265734,19.37975,13.1963,0.9882796309646552,0.407665619433921,0.20331428836080656,0.055765660544243575,917.246830944939,0,3057.801655393603,7.572800000000001
