#CRTS ID,RA (J2000),Dec (J2000),UT Date,Mag,CSS images,SDSS,Others,Followed,Last,LC,FC,Classification
CSS120828:000010-215515,0.04323,-21.92087,20120828.38,17.02,1208280210014111715,no,11171,no,2016-10-22,11171,yes,Var
CSS100910:000025+332543,0.1028,33.42861,20100910.42,15.85,1009101320014148188,yes,14818,no,2016-11-05,14818,yes,"CV SDSS mag 20,5"
CSS101127:000130+050624,0.37695,5.10657,20101127.21,15.68,1011271040014129121,no,12912,yes,2016-11-06,12912,yes,"CV mag 20,0"
CSS160709:000132+211336,0.38474,21.2268,20160709.45,17.21,1607091210014124380,yes,12438,no,2016-11-05,12438,yes,Blazar CRATES_J0001+2113
CSS110926:000156+065236,0.48205,6.87665,20110926.3,19.35,1109261070014122864,no,12286,yes,2016-11-06,12286,yes,"SN 2011hl SDSS mag 15,7 2MASX_00015920"
CSS151109:000251+102403,0.71102,10.40078,20151109.23,18.8,1511091090014127873,no,12787,no,2016-11-06,12787,yes,SN SDSS mag >22
CSS151119:000257+323253,0.73631,32.54794,20151119.13,18.8,1511191320014127170,yes,12717,no,2016-11-05,12717,yes,"SN SDSS mag 22,2"
CSS111006:000521+264916,1.33747,26.82104,20111006.18,17.75,1110061260014124074,yes,12407,yes,2016-10-29,12407,yes,"AGN SDSS mag 19,3"
CSS130915:000549+095109,1.45449,9.85241,20130915.34,19.44,1309151090014120286,no,12028,no,2016-11-06,12028,yes,"SN SDSS mag 16,7"
CSS160922:000554+082548,1.47332,8.4301,20160922.32,17.71,1609221070014133607,no,13360,no,2016-11-06,13360,yes,"SN SDSS mag 21,1"
CSS100602:000700+192818,1.7483,19.4716,20100602.45,17.74,1006021180014134943,yes,13494,yes,2016-11-05,13494,yes,"CV mag 20,5"
CSS131012:000714-161753,1.80709,-16.29795,20131012.21,19.44,1310120150014110189,no,11018,no,2016-11-04,11018,yes,SN mag >21
CSS141025:000720+315242,1.83133,31.8784,20141025.29,18.27,1410251320014115813,no,11581,no,2016-11-05,11581,yes,"SN SDSS mag 20,3"
CSS110921:000721+200722,1.83643,20.12269,20110921.27,17.07,1109211210014107917,yes,10791,yes,2016-11-05,10791,yes,"CV SDSS mag 21,1"
CSS101008:000728+291420,1.86647,29.23899,20101008.29,13.19,1010081290014121920,no,12192,no,2016-11-05,12192,yes,HPM LHS 103
CSS151119:000729+291415,1.86891,29.23742,20151119.13,13.07,1511191290014117518,no,11751,no,2016-11-05,11751,yes,HPM LHS_103
CSS151203:000742+122809,1.92595,12.46907,20151203.07,19.41,1512031120014116775,no,11677,no,2016-11-06,11677,yes,"AGN SDSS 20,5"
CSS131025:000816-033618,2.06714,-3.60505,20131025.21,17.18,1310250040014131234,no,13123,no,2016-11-06,13123,yes,"SN (spec) SDSS mag 19,5"
CSS121021:000904+062821,2.26632,6.47258,20121021.4,17.39,1210211070014111403,yes,11140,no,2016-11-06,11140,yes,"blazar SDSS mag 18,9"
CSS151130:000911+300308,2.2956,30.0523,20151130.21,17.5,1511301290014130643,no,13064,no,2016-11-05,13064,yes,"CV SDSS mag 19,9"
CSS131012:000918-194224,2.3262,-19.70678,20131012.22,13.89,1310120180014101233,no,10123,no,2016-10-22,10123,yes,HPM LHS_105
CSS101007:000938-121017,2.40936,-12.1713,20101007.24,14.61,1010070120014131116,no,13111,yes,2016-11-04,13111,yes,CV mag 20
